Year,Team,Name,G,Min,Pts,PPG,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,REB,RPG,AST,APG,STL,BLK,TO,MPPS,OEPM,DEPM
1995,DAL,Jim Jackson,82,2820,1604,19.6,569,1308,.435,345,418,.825,121,333,.363,410,5.0,235,2.9,47,22,191,0.7165,0.581,0.1291
1995,DAL,George McCloud,79,2846,1497,18.9,530,1281,.414,180,224,.804,257,678,.379,379,4.8,212,2.7,113,38,166,0.7231,0.5051,0.1514
1995,DAL,Jason Kidd,81,3034,1348,16.6,493,1293,.381,229,331,.692,133,396,.336,553,6.8,783,9.7,175,26,328,0.7708,0.7649,0.2154
1995,DAL,Tony Dumas,67,1284,776,11.6,274,655,.418,154,257,.599,74,207,.357,115,1.7,99,1.5,42,13,77,0.3262,0.2733,0.0493
1995,DAL,Popeye Jones,68,2322,770,11.3,327,733,.446,102,133,.767,14,39,.359,737,10.8,132,1.9,54,27,109,0.5899,0.2693,0.2164
1995,DAL,Lucious Harris,61,1016,481,7.9,183,397,.461,68,87,.782,47,125,.376,122,2.0,79,1.3,35,3,46,0.2581,0.1729,0.0453
1995,DAL,Scott Brooks,69,716,352,5.1,134,293,.457,59,69,.855,25,62,.403,41,0.6,100,1.4,42,3,43,0.1819,0.1507,0.0274
1995,DAL,Loren Meyer,72,1266,363,5.0,145,330,.439,70,102,.686,3,11,.273,319,4.4,57,0.8,20,32,67,0.3216,0.1256,0.0988
1995,DAL,David Wood,37,642,182,4.9,67,154,.435,29,40,.725,19,59,.322,133,3.6,27,0.7,16,9,19,0.1631,0.0642,0.0427
1995,DAL,Terry Davis,28,501,137,4.9,55,108,.509,27,47,.574,0,0,.000,117,4.2,21,0.8,10,4,25,0.1273,0.0473,0.0348
1995,DAL,Cherokee Parks,64,869,250,3.9,101,247,.409,41,62,.661,7,26,.269,216,3.4,29,0.5,25,32,31,0.2208,0.0826,0.0746
1995,DAL,Reggie Slater,3,26,11,3.7,5,11,.455,1,2,.500,0,0,.000,5,1.7,0,0.0,0,0,3,0.0066,0.0023,0.0013
1995,DAL,Lorenzo Williams,65,1806,198,3.0,87,214,.407,24,70,.343,0,1,.000,521,8.0,85,1.3,48,122,78,0.4588,0.0852,0.1894
